city,count,county,lat,lon,province,staID,staName,type
北京,1079,西城区,39.8784,116.3621,北京,1001A,万寿西宫,B
北京,1079,东城区,39.9289,116.4174,北京,1003A,东四,B
北京,1079,东城区,39.8863,116.4072,北京,1004A,天坛,B
北京,1077,朝阳区,39.9365,116.462,北京,1005A,农展馆,B
北京,1079,西城区,39.9295,116.3392,北京,1006A,官园,B
北京,1078,海淀区,39.9611,116.2878,北京,1007A,海淀万柳,B
北京,1079,顺义区,40.135,116.6636,北京,1008A,顺义新城,B
北京,1076,怀柔区,40.3275,116.6275,北京,1009A,怀柔镇,B
北京,1079,昌平区,40.217,116.2296,北京,1010A,昌平镇,B
北京,1078,朝阳区,39.9821,116.3966,北京,1011A,奥体中心,B
北京,1079,石景山区,39.9136,116.184,北京,1012A,古城,B
天津,1080,红桥区,39.1661,117.1444,天津,1015A,勤俭道,B
天津,1070,河东区,39.1082,117.237,天津,1017A,大直沽八号路,B
天津,1080,河西区,39.0927,117.202,天津,1018A,前进道,B
天津,1075,北辰区,39.2133,117.1837,天津,1019A,淮河道,B
天津,1080,东丽区,39.0877,117.307,天津,1021A,跃进路,B
天津,1063,滨海新区,39.0343,117.707,天津,1023A,第四大街,B
天津,1080,滨海新区,38.8394,117.457,天津,1024A,永明路,B
天津,1079,滨海新区,39.1587,117.764,天津,1026A,汉北路,B
石家庄,1080,桥西区,38.0444,114.4422,河北,1029A,职工医院,B
石家庄,1079,高新区,38.0266,114.6063,河北,1030A,高新区,B
石家庄,1080,新华区,38.1328,114.4898,河北,1031A,西北水源,B
石家庄,1080,桥西区,38.0058,114.4586,河北,1032A,西南高教,B
石家庄,1080,裕华区,38.0178,114.5331,河北,1033A,世纪公园,B
石家庄,1072,长安区,38.0457,114.509,河北,1034A,人民会堂,B
唐山,1075,路北区,39.6363,118.131,河北,1037A,雷达站,B
唐山,1080,路北区,39.6334,118.1725,河北,1038A,物资局,B
唐山,1080,路北区,39.6506,118.1705,河北,1040A,十二中,B
