city,count,county,lat,lon,province,staID,staName,type
北京,1078,海淀区,39.9611,116.2878,北京,1007A,海淀万柳,B
唐山,1080,路北区,39.6334,118.1725,河北,1038A,物资局,B
秦皇岛,1074,海港区,39.9041,119.5251,河北,1046A,建设大厦,B
张家口,1080,桥西区,40.8336,114.8883,河北,1057A,人民公园,B
承德,1049,双桥区,40.9763,117.9392,河北,1063A,中国银行,B
廊坊,1080,广阳区,39.5269,116.7244,河北,1070A,北华航天学院,B
邢台,1073,信都区,37.0886,114.4704,河北,1077A,达活泉,B
太原,1080,晋源区,37.7124,112.469,山西,1084A,晋源,B
呼和浩特,1080,经济技术开发区,40.7866,111.5512,内蒙古,1096A,工大金川校区,B
大连,1080,金州区,39.0496,121.7811,辽宁,1117A,开发区,B
长春,1053,经济技术开发区,43.8447,125.3863,吉林,1126A,经开区环卫处,B
哈尔滨,1064,呼兰区,45.9855,126.595,黑龙江,1139A,呼兰师专,B
上海,1080,普陀区,31.238,121.4,上海,1141A,普陀,B
南京,1080,玄武区,32.0754,118.7997,江苏,1156A,玄武湖,B
苏州,1056,吴中区,31.2703,120.613,江苏,1164A,吴中区,B
南通,1080,港闸区,32.0417,120.81,江苏,1172A,紫琅学院,B
连云港,1079,海州区,34.5885,119.176,江苏,1173A,市环境监测站,B
无锡,1073,滨湖区,31.5031,120.242,江苏,1191A,漆塘,B
镇江,1080,丹徒区,32.1328,119.4303,江苏,1205A,丹徒区监测站,B
淮安,1080,淮阴区,33.6297,119.0186,江苏,1214A,淮阴区监测站,B
盐城,1080,亭湖区,33.4022,120.118,江苏,1215A,盐城电厂,B
宿迁,1065,宿城区,33.9528,118.293,江苏,1220A,宿迁学院,B
杭州,1080,滨江区,30.2111,120.2072,浙江,1223A,滨江,B
宁波,1080,海曙区,29.8674,121.524,浙江,1241A,市环境监测中心,B
温州,1080,龙湾区,27.9747,120.76,浙江,1244A,龙湾,B
台州,1042,路桥区,28.5773,121.377,浙江,1257A,路桥田洋王,B
舟山,1080,定海区,29.9944,122.19,浙江,1260A,临城新区,B
金华,1078,金东区,29.1028,119.6856,浙江,1263A,监测站,B
衢州,1050,柯城区,28.9398,118.8692,浙江,1264A,环保大楼,B
丽水,1080,莲都区,28.4231,119.879,浙江,1269A,余庄前,B
合肥,1080,蜀山区,31.7848,117.1959,安徽,1270A,明珠广场,B
青岛,1080,崂山区,36.0858,120.4581,山东,1313A,崂山区子站,B
郑州,1080,高新区,34.81325,113.5674,河南,1319A,供水公司,B
武汉,1074,江岸区,30.6189,114.282,湖北,1327A,汉口花桥,B
长沙,1080,长沙县,28.2325,113.0833,湖南,1335A,经开区环保局,B
佛山,1080,高明区,22.8678,112.8383,广东,1376A,高明孔堂,B
中山,1077,,22.5497,113.3881,广东,1380A,张溪,B
江门,1080,蓬江区,22.6058,113.1064,广东,1383A,北街,B
惠州,1080,惠城区,23.0822,114.4053,广东,1393A,下埔横江三路子站,B
南宁,1080,兴宁区,22.8225,108.3206,广西,1403A,市监测站,B
海口,1080,美兰区,20.0574,110.3232,海南,1410A,海南大学,B
贵阳,1080,花溪区,26.4365,106.6555,贵州,1443A,碧云窝,B
昆明,1077,五华区,25.0669,102.6742,云南,1454A,金鼎山,B
拉萨,1066,城关区,29.6541,91.1774,西藏,1459A,西藏大学,B
西安,1071,新城区,34.2713,108.954,陕西,1466A,市人民体育场,B
乌鲁木齐,1074,沙依巴克区,43.8303,87.5801,新疆,1490A,监测站,B
株洲,1080,天元区,27.8244,113.135,湖南,1515A,天台山庄,B
湘潭,1080,岳塘区,27.9153,113.0048,湖南,1562A,昭山,B
包头,1080,东河区,40.5546,110.0377,内蒙古,1590A,东河鸿龙湾,B
鄂尔多斯,1080,东胜区,39.8261,109.9486,内蒙古,1592A,巴音孟克林场办事处,B
营口,1080,西市区,40.6511,122.215,辽宁,1598A,镜湖西路,B
丹东,1080,元宝区,40.1461,124.3933,辽宁,1602A,元宝山,B
盘锦,1046,兴隆台区,41.1489,122.0303,辽宁,1604A,开发区,B
葫芦岛,1080,连山区,40.7677,120.8695,辽宁,1610A,东城区,B
泉州,1080,洛江区,24.9424,118.6663,福建,1613A,万安,B
德州,1080,德城区,37.4451,116.2991,山东,1624A,监理站,B
聊城,1080,东昌府区,36.4372,115.9848,山东,1625A,区政府,B
滨州,1080,滨城区,37.393,117.9776,山东,1630A,北中新校,B
淄博,1080,淄川区,36.6331,117.9592,山东,1634A,气象站,B
枣庄,1078,薛城区,34.7837,117.2852,山东,1638A,薛城环保局,B
烟台,1080,开发区,37.5639,121.2514,山东,1642A,开发区,B
济宁,1080,任城区,35.4042,116.5491,山东,1655A,电化厂,B
泰安,1080,泰山区,36.1937,117.1437,山东,1656A,监测站,B
日照,1080,东港区,35.4044,119.5587,山东,1661A,港务局,B
韶关,1080,浈江区,24.7733,113.5824,广东,1669A,市八中,B
湛江,1074,麻章区,21.2679,110.3316,广东,1684A,麻章区环保局,B
茂名,1080,茂南区,21.6828,110.8592,广东,1689A,高岭,B
梅州,1080,梅县区,24.2719,116.0797,广东,1691A,梅县新城,B
汕尾,1070,城区,22.7925,115.3622,广东,1695A,新城中学,B
河源,1080,源城区,23.7586,114.6944,广东,1697A,东埔,B
揭阳,1070,榕城区,23.5294,116.4151,广东,1711A,渔湖,B
菏泽,1075,牡丹区,35.2464,115.4208,山东,1718A,市气象局,B
阳泉,1080,城区,37.8392,113.5158,山西,1743A,大阳泉,B
鞍山,1080,立山区,41.1196,123.044,辽宁,1748A,深沟寺,B
抚顺,1080,望花区,41.8391,123.7086,辽宁,1760A,沈抚新城,B
本溪,1080,平山区,41.2864,123.7669,辽宁,1764A,东明,B
锦州,1080,凌河区,41.1119,121.1836,辽宁,1769A,百股街道,B
吉林,1079,丰满区,43.8306,126.555,吉林,1776A,江南公园,B
齐齐哈尔,1079,龙沙区,47.3227,123.9483,黑龙江,1781A,农牧车辆厂,B
牡丹江,1080,西安区,44.5782,129.6115,黑龙江,1785A,文化广场,B
大庆,1080,让胡路区,46.6215,124.9042,黑龙江,1793A,让胡路区,B
马鞍山,1080,花山区,31.7231,118.5228,安徽,1800A,慈湖,B
九江,1068,浔阳区,29.7295,115.9877,江西,1805A,西园,B
安阳,1080,开发区,36.0681,114.361,河南,1820A,银杏小区,B
开封,1045,城乡一体化示范区,34.7965,114.2885,河南,1826A,世纪星幼儿园,B
平顶山,1068,新华区,33.737,113.2919,河南,1833A,规划设计院,B
三门峡,1076,湖滨区,34.7752,111.1922,河南,1835A,市政府,B
宜昌,1080,伍家岗区,30.6465,111.3549,湖北,1841A,伍家岗,B
岳阳,1080,岳阳楼区,29.3575,113.1497,湖南,1849A,开发区,B
常德,1080,武陵区,28.9703,111.6975,湖南,1854A,市二中,B
张家界,1080,永定区,29.1217,110.5319,湖南,1858A,永定新区,B
桂林,1080,象山区,25.2178,110.2869,广西,1865A,八中,B
北海,1076,银海区,21.4086,109.1436,广西,1867A,海滩公园,B
柳州,1080,鱼峰区,24.3134,109.4958,广西,1875A,古亭山,B
宜宾,1080,翠屏区,28.7199,104.5742,四川,1886A,黄金嘴,B
攀枝花,1080,东区,26.571,101.6891,四川,1888A,弄弄坪,B
泸州,1080,江阳区,28.8833,105.4379,四川,1896A,市环监站,B
德阳,1065,旌阳区,31.1091,104.3553,四川,1904A,耐火材料厂,B
南充,1067,顺庆区,30.8388,106.1087,四川,1910A,市环境监测站,B
遵义,1080,汇川区,27.72,106.9178,贵州,1915A,干田坝,B
曲靖,1079,麒麟区,25.5035,103.7897,云南,1916A,环境监测站,B
延安,1080,宝塔区,36.6106,109.5056,陕西,1929A,百米大道,B
宝鸡,1080,渭滨区,34.3547,107.1431,陕西,1933A,监测站,B
渭南,1079,临渭区,34.4877,109.4974,陕西,1939A,日报社,B
石嘴山,1078,惠农区,39.1325,106.7099,宁夏,1950A,红果子镇惠新街,B
克拉玛依,1080,克拉玛依区,45.5893,84.8988,新疆,1952A,南林小区,B
巴音郭楞州,1080,库尔勒市,41.7538,86.1472,新疆,1956A,孔雀公园,B
信阳,1078,南湾风景管理区,32.1271,113.9956,河南,2064A,南湾水厂,B
周口,1080,川汇区,33.6128,114.6613,河南,2067A,市环境监测站,B
晋城,1080,城区,35.4936,112.8318,山西,2161A,白云商贸,B
朔州,1080,朔城区,39.3617,112.4575,山西,2167A,朔唯,B
晋中,1080,榆次区,37.6982,112.6991,山西,2174A,榆次区政府,B
忻州,1076,忻府区,38.4519,112.7383,山西,2181A,开发区,B
吕梁,1080,离石区,37.5136,111.1297,山西,2185A,自来水公司,B
乌海,1080,海勃湾区,39.6973,106.8174,内蒙古,2187A,市林业局,B
呼伦贝尔,1080,海拉尔区,49.2261,119.7594,内蒙古,2192A,区环保局,B
巴彦淖尔,1074,临河区,40.7372,107.37,内蒙古,2196A,市环保大楼,B
兴安盟,1080,乌兰浩特市,46.0656,122.0392,内蒙古,2200A,胜华新制药厂,B
锡林郭勒盟,1080,锡林浩特市,43.9311,116.0781,内蒙古,2203A,市政府,B
阿拉善盟,1079,阿拉善左旗,38.8516,105.724,内蒙古,2206A,环保局新楼,B
阜新,1080,细河区,42.0705,121.6673,辽宁,2209A,农业园区,B
辽阳,1080,宏伟区,41.1953,123.2,辽宁,2212A,宏伟区,B
铁岭,1080,银州区,42.2867,123.8486,辽宁,2218A,银州路东段,B
朝阳,1080,双塔区,41.5648,120.4176,辽宁,2222A,八里堡,B
四平,1080,铁西区,43.193,124.388,吉林,2226A,境园,B
辽源,1080,龙山区,42.8845,125.1358,吉林,2227A,环保局,B
通化,1080,东昌区,41.7325,125.9446,吉林,2230A,铁路,B
白山,1080,浑江区,41.9171,126.4219,吉林,2231A,喜丰,B
松原,1079,宁江区,45.1214,124.8006,吉林,2233A,江南,B
白城,1078,洮北区,45.6077,122.7911,吉林,2235A,洮北区环保局,B
延边州,1080,延吉市,42.8881,129.3964,吉林,2239A,朝阳川镇医院,B
鸡西,1075,鸡冠区,45.3039,130.9429,黑龙江,2243A,第一中学,B
鹤岗,1080,南山区,47.3086,130.2684,黑龙江,2245A,斯达机电,B
双鸭山,1080,尖山区,46.6211,131.1734,黑龙江,2249A,南小市,B
佳木斯,1080,郊区,46.8028,130.2751,黑龙江,2255A,佳纺,B
黑河,1080,爱辉区,50.2341,127.5144,黑龙江,2264A,环保局,B
绥化,1080,北林区,46.6528,126.964,黑龙江,2267A,党政办公中心,B
淮南,1080,谢家集区,32.5951,116.8569,安徽,2279A,谢家集区政府,B
淮北,1080,烈山区,33.9007,116.8091,安徽,2283A,烈山区政府,B
铜陵,1075,铜官区,30.9412,117.8177,安徽,2285A,市第四中学,B
安庆,1073,大观区,30.5119,117.0331,安徽,2292A,马山宾馆,B
黄山,1080,屯溪区,29.6963,118.2903,安徽,2295A,延安路89号,B
滁州,1080,南谯区,32.2786,118.3244,安徽,2299A,人大宾馆,B
阜阳,1080,颍州区,32.8929,115.8277,安徽,2301A,市监测站,B
六安,1080,裕安区,31.7643,116.4738,安徽,2308A,皖西学院,B
宣城,1080,宣州区,30.9427,118.7173,安徽,2318A,开发区子站,B
莆田,1080,荔城区,25.4325,119.0141,福建,2319A,荔城区仓后路,B
三明,1080,梅列区,26.2625,117.6211,福建,2324A,三钢,B
南平,1080,延平区,26.6489,118.1825,福建,2333A,南平铝业有限公司,B
龙岩,1080,新罗区,25.0661,117.0258,福建,2337A,闽西职业技术学院,B
宁德,1066,蕉城区,26.6612,119.5388,福建,2341A,宁德市监测站,B
景德镇,1080,昌江区,29.2617,117.1547,江西,2345A,台达陶瓷,B
萍乡,1079,安源区,27.6253,113.8493,江西,2349A,市政府车库,B
鹰潭,1080,月湖区,28.2642,117.0564,江西,2358A,新监测站,B
赣州,1080,章贡区,25.8481,114.9461,江西,2364A,气象台,B
吉安,1080,吉州区,27.0803,114.9754,江西,2367A,红声器材厂,B
宜春,1080,袁州区,27.7914,114.3703,江西,2374A,市气象局,B
抚州,1080,临川区,27.963,116.3565,江西,2378A,血防站,B
鹤壁,1080,淇滨区,35.7306,114.2878,河南,2387A,迎宾馆,B
新乡,1080,红旗区,35.303,113.883,河南,2391A,环保东院,B
濮阳,1077,华龙区,35.7754,115.0866,河南,2395A,油田物探公司,B
漯河,1075,源汇区,33.5698,114.0055,河南,2400A,漯河大学,B
南阳,1080,卧龙区,32.9735,112.5003,河南,2405A,汉画馆,B
商丘,1076,示范区,34.4285,115.6702,河南,2408A,环境监测站,B
驻马店,1066,开发区,33.015,114.0114,河南,2421A,市彩印厂,B
黄石,1073,西塞山区,30.2006,115.0817,湖北,2424A,陈家湾,B
十堰,1079,茅箭区,32.6494,110.78,湖北,2429A,滨河新村,B
襄阳,1075,襄城区,32.0197,112.155,湖北,2432A,襄城运动路,B
鄂州,1080,鄂城区,30.3994,114.8938,湖北,2436A,市政府,B
孝感,1080,孝南区,30.9285,113.9153,湖北,2443A,文化路,B
咸宁,1078,咸安区,29.8566,114.2936,湖北,2449A,咸安区政府,B
随州,1080,曾都区,31.7275,113.3583,湖北,2451A,市委党校,B
衡阳,1080,珠晖区,26.8956,112.6211,湖南,2458A,珠晖区环保局,B
邵阳,1076,大祥区,27.2317,111.4733,湖南,2463A,市一中,B
益阳,1079,赫山区,28.5819,112.3744,湖南,2471A,赫山环保分局,B
郴州,1080,苏仙区,25.7759,113.0348,湖南,2476A,市环保局,B
永州,1079,冷水滩区,26.4519,111.5989,湖南,2481A,冷水滩区环保局,B
怀化,1080,鹤城区,27.583,110.0394,湖南,2486A,市委党校,B
娄底,1080,娄星区,27.7044,111.9892,湖南,2491A,市政府,B
湘西州,1079,吉首市,28.2675,109.6958,湖南,2494A,吉首市计生局,B
梧州,1080,龙圩区,23.4189,111.247,广西,2497A,龙圩,B
防城港,1080,港口区,21.6158,108.3411,广西,2499A,沙万,B
钦州,1080,钦南区,21.7431,108.5989,广西,2504A,港区一小,B
贵港,1080,港北区,23.0948,109.6014,广西,2507A,贵城子站,B
百色,1076,右江区,23.8859,106.6538,广西,2513A,市中心血站,B
贺州,1076,八步区,24.4078,111.5608,广西,2515A,政协大楼,B
河池,1080,金城江区,24.6989,108.0983,广西,2518A,市疾控中心,B
崇左,1080,江州区,22.4136,107.3476,广西,2521A,市环保局江州分局,B
